Theme,Subtheme,Keyword,Emotion
SPIRITUALITY,Religion,Al-Mudhill,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,As-Sami',"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Basir,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Hakam,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-'Adl,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Latif,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Khabir,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Halim,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Azim,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Ghafur,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Ash-Shakur,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Ali,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Kabir,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Hafiz,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Muqit,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Hasib,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Jalil,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Karim,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Ar-Raqib,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Mujib,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Wasi',"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Hakim,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Wadud,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Majid,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Ba'ith,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Ash-Shahid,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Haqq,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Wakil,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Qawi,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Matin,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Wali,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Hamid,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Muhsi,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Mubdi',"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Mu'id,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Muhyi,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Mumit,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Hayy,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Qayyum,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Wajid,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Majid,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Wahid,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Ahad,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,As-Samad,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Qadir,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Muqtadir,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Muqaddim,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Mu'akhkhir,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Awwal,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Akhir,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Az-Zahir,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Batin,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Wali,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Muta'ali,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Barr,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,At-Tawwab,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Muntaqim,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-'Afuww,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Ar-Ra'uf,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Malik-ul-Mulk,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Dhul-Jalal wal-Ikram,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Muqsit,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Jami',"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Ghani,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Mughni,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Mani',"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Ad-Darr,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,An-Nafi',"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,An-Nur,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Hadi,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Badi',"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Baqi,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Al-Warith,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,Ar-Rashid,"gratitude, love, relief, remorse, neutral, joy"
SPIRITUALITY,Religion,As-Sabur,"gratitude, love, relief, remorse, neutral, joy"
RELATIONSHIPS & SOCIAL LIFE,Family,mother,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,father,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,parents,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,siblings,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,family,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,arguments,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,upbringing,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,home,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,family dinner,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,guests,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,child,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,kid,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,son,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,daughter,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,mother-in-law,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,father-in-law,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,grandma,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,grandmother,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,grandpa,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,grandfather,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,grandparents,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,step-family,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,cousin,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,aunt,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,uncle,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,sibling rivalry,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,household,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,parent-child bonding,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,family traditions,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,chores,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,family gathering,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,parenting,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,parental advice,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,adoption,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,family reunion,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,mom,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,dad,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,brother,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,sister,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,stepmother,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,stepfather,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,stepsister,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,stepbrother,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,guardian,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,foster family,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,godparent,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,niece,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,nephew,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,relatives,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,kin,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,ancestors,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,descendants,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,heirloom,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,family home,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,family car,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,childhood home,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,nuclear family,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,extended family,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,blended family,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,single parent,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,only child,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,family rules,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,allowance,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,bedtime,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,curfew,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,family meeting,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,game night,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,Sunday roast,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,holiday meal,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,birthday party,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,anniversary,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,funeral,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,wedding,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,family vacation,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,road trip,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,photo album,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,home video,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,family story,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,family tree,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,legacy,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,roots,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,heritage,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,culture,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,family name,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,values,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,expectations,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,pressure,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,favoritism,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,black sheep,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,golden child,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,middle child,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,oldest,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,youngest,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,empty nest,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,boomerang kid,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,caregiver,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,elderly parents,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,inheritance,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,will,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,family business,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,family support,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,family conflict,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,dysfunction,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,reconciliation,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,unconditional love,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,tough love,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,tension,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,peace,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,harmony,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Family,chaos,"love, caring, disapproval, approval, nervousness, relief, joy, anger, sadness, gratitude, disappointment"
RELATIONSHIPS & SOCIAL LIFE,Friendship,friend,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,best friend,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,hang out,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,trust,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,companionship,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,betrayal,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,hug,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,buddy,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,pal,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,mate,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,friendship goals,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,loyal friend,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,confidant,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,peer,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,squad,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,social circle,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,inside joke,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,support system,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,gossip,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,outing,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,road trip,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,sleepover,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,friend request,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,messaging,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,group chat,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,club,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,teammate,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,acquaintance,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,close friend,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,childhood friend,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,school friend,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,work friend,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,online friend,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,pen pal,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,BFF,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,ride or die,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,partner in crime,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,shoulder to cry on,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,trust issues,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,drift apart,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,falling out,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,reconciliation,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
RELATIONSHIPS & SOCIAL LIFE,Friendship,forgiveness,"love, caring, admiration, gratitude, neutral, approval, grief, sadness"
